date	close
07-Jul-14	53
29-Jul-14	100
05-Aug-14	145
15-Aug-14	660
25-Aug-14	999
05-Sep-14	1020
15-Sep-14	2420
25-Sep-14	4990
05-Oct-14	5600
15-Oct-14	6789
25-Oct-14	7899
05-Nov-14	8890
15-Nov-14	9000
24-Nov-14	10000
05-Dec-14	12199
23-Dec-14	13870
